Combo Name,Pairing,Description,Cautions,Advice/Recommendations
Scar vs. Duty,P-O-R x C-O-R,Pained duty-taker meets content duty-taker—burdened receipt vs. glad receipt.,Scar may envy Duty’s ease; Duty may push Scar.,Scar: Share needs. Duty: Offer light aid.
Scar vs. Sprinkler,P-O-R x C-W-G,Pained duty-taker meets content giver—burdened receipt vs. joyful offer.,Scar may lean on Sprinkler; Sprinkler may overwhelm.,Scar: Accept joy. Sprinkler: Tone it down.
Scar vs. Craver,P-O-R x C-W-N,Pained duty-taker meets content craver—burdened receipt vs. calm longing.,Scar may resent Craver’s ease; Craver may detach.,Scar: Express pain. Craver: Offer soft support.
Scar vs. Hunter,P-O-R x C-W-R,Pained duty-taker meets content seeker—burdened receipt vs. joyful want.,Scar may envy Hunter; Hunter may miss Scar’s burden.,Scar: Share needs. Hunter: Listen first.
Scar vs. Flow,P-O-R x N-N-G,Pained duty-taker meets neutral giver—burdened receipt vs. steady offer.,Scar may lean on Flow; Flow may feel used.,Scar: Reciprocate. Flow: Keep it light.
Scar vs. Echo,P-O-R x N-N-N,Pained duty-taker meets neutral flat—burdened receipt vs. stasis.,Scar may stir Echo; Echo may ignore Scar.,Scar: Lead gently. Echo: Respond minimally.
Scar vs. Sponge,P-O-R x N-N-R,Pained duty-taker meets neutral receiver—burdened receipt vs. passivity.,Scar may lean on Sponge; Sponge may shrink.,Scar: Moderate demands. Sponge: Show interest.
Scar vs. Hand,P-O-R x N-O-G,Pained duty-taker meets neutral giver—burdened receipt vs. reliable duty.,Scar may drain Hand; Hand may judge Scar.,Scar: Thank Hand. Hand: Offer steady help.
Scar vs. Glide,P-O-R x N-O-N,Pained duty-taker meets neutral drifter—burdened receipt vs. duty-bound calm.,Scar may push Glide; Glide may withdraw.,Scar: Be patient. Glide: Meet halfway.
Scar vs. Fetcher,P-O-R x N-O-R,Pained duty-taker meets neutral duty-taker—burdened receipt vs. calm receipt.,Scar may burden Fetcher; Fetcher may resist.,Scar: Ease demands. Fetcher: Share pace.
Scar vs. Sharer,P-O-R x N-W-G,Pained duty-taker meets neutral giver—burdened receipt vs. gentle offer.,Scar may take too much; Sharer may tire.,Scar: Give back. Sharer: Pace giving.
Scar vs. Dreamer,P-O-R x N-W-N,Pained duty-taker meets neutral craver—burdened receipt vs. idle want.,Scar may frustrate Dreamer; Dreamer may drift.,Scar: Signal needs. Dreamer: Act lightly.
Scar vs. Chaser,P-O-R x N-W-R,Pained duty-taker meets neutral seeker—burdened receipt vs. calm want.,Scar may overwhelm Chaser; Chaser may detach.,Scar: Ease demands. Chaser: Offer gentle aid.
Scar vs. Tasker,P-O-R x P-O-G,Pained duty-taker meets pained giver—burdened receipt vs. strained duty.,Scar may drain Tasker; Tasker may feel used.,Scar: Reciprocate. Tasker: Set boundaries.
Scar vs. Drift,P-O-R x P-O-N,Pained duty-taker meets pained drifter—burdened receipt vs. burdened calm.,Scar may burden Drift; Drift may withdraw.,Scar: Be patient. Drift: Engage slightly.
Paired Duty Scars,P-O-R x P-O-R,"Both pained, obligated, receiving—burdened by duty taken on.",Resentment if duty feels uneven; fatigue.,Share the load explicitly; rest together after tasks.
Sore vs. Beacon,P-W-G x C-N-G,Pained giver meets content giver—sacrifice vs. steady peace.,Sore may exhaust Beacon; Beacon may tire.,Sore: Accept calm. Beacon: Be patient.
Sore vs. Drift,P-W-G x C-N-N,Pained giver meets content drifter—sacrifice vs. serene calm.,Sore may stir Drift; Drift may ignore Sore.,Sore: Be gentle. Drift: Acknowledge effort.
Sore vs. Keeper,P-W-G x C-N-R,Pained giver meets content receiver—sacrifice vs. peaceful take.,Sore may disrupt Keeper; Keeper may seem aloof.,Sore: Calm giving. Keeper: Engage lightly.
Sore vs. Toiler,P-W-G x C-O-G,Pained giver meets content giver—sacrifice vs. joyful duty.,Sore may lean on Toiler; Toiler may overgive.,Sore: Reciprocate. Toiler: Balance giving.
Sore vs. Yoke,P-W-G x C-O-N,Pained giver meets content drifter—sacrifice vs. light duty.,Sore may disrupt Yoke; Yoke may seem distant.,Sore: Ease up. Yoke: Connect gently.
Sore vs. Duty,P-W-G x C-O-R,Pained giver meets content duty-taker—sacrifice vs. glad receipt.,Sore may envy Duty; Duty may push Sore.,Sore: Share needs. Duty: Offer light aid.
Sore vs. Sprinkler,P-W-G x C-W-G,Pained giver meets content giver—sacrifice vs. joyful offer.,Sore may lean on Sprinkler; Sprinkler may overwhelm.,Sore: Accept joy. Sprinkler: Tone it down.
Sore vs. Craver,P-W-G x C-W-N,Pained giver meets content craver—sacrifice vs. calm longing.,Sore may resent Craver’s ease; Craver may detach.,Sore: Express needs. Craver: Offer soft support.
Sore vs. Hunter,P-W-G x C-W-R,Pained giver meets content seeker—sacrifice vs. joyful want.,Sore may envy Hunter; Hunter may miss Sore’s effort.,Sore: Share strain. Hunter: Notice giving.
Sore vs. Flow,P-W-G x N-N-G,Pained giver meets neutral giver—sacrifice vs. steady offer.,Sore may lean on Flow; Flow may tire.,Sore: Reciprocate. Flow: Keep it light.
Sore vs. Echo,P-W-G x N-N-N,Pained giver meets neutral flat—sacrifice vs. stasis.,Sore may stir Echo; Echo may dull Sore.,Sore: Lead gently. Echo: Respond minimally.
Sore vs. Sponge,P-W-G x N-N-R,Pained giver meets neutral receiver—sacrifice vs. passivity.,Sore may feel used; Sponge may shrink.,Sore: Limit giving. Sponge: Show appreciation.
Sore vs. Steady,P-W-G x N-O-G,Pained giver meets neutral duty-giver—strain vs. reliability.,Sore may feel unseen; Steady may judge Sore’s pain.,Sore: Ask for help. Steady: Offer consistent support.
Sore vs. Hand,P-W-G x N-O-G,Pained giver meets neutral giver—sacrifice vs. reliable duty.,Sore may drain Hand; Hand may judge Sore.,Sore: Thank Hand. Hand: Offer steady help.
Sore vs. Glide,P-W-G x N-O-N,Pained giver meets neutral drifter—sacrifice vs. duty-bound calm.,Sore may push Glide; Glide may withdraw.,Sore: Be patient. Glide: Meet halfway.
Sore vs. Fetcher,P-W-G x N-O-R,Pained giver meets neutral duty-taker—sacrifice vs. calm receipt.,Sore may overload Fetcher; Fetcher may resist.,Sore: Ease giving. Fetcher: Share pace.
Sore vs. Sharer,P-W-G x N-W-G,Pained giver meets neutral giver—sacrifice vs. gentle offer.,Both may overgive; balance may falter.,Sore: Rest some. Sharer: Match giving levels.
Sore vs. Dreamer,P-W-G x N-W-N,Pained giver meets neutral craver—sacrifice vs. idle want.,Sore may feel unappreciated; Dreamer may drift.,Sore: Request support. Dreamer: Act slightly.
Sore vs. Chaser,P-W-G x N-W-R,Pained giver meets neutral seeker—sacrifice vs. calm want.,Sore may drain Chaser; Chaser may detach.,Sore: Ask for help. Chaser: Offer gentle aid.
Sore vs. Bleeder,P-W-G x P-N-G,Pained giver meets pained giver—sacrifice vs. quiet sacrifice.,Both may deplete; neither may receive.,Sore: Pause giving. Bleeder: Share your strain.
Sore vs. Sting,P-W-G x P-N-N,Pained giver meets pained neutral—sacrifice vs. apathy.,Sore may feel unseen; Sting may frustrate Sore.,Sore: Ask for response. Sting: Acknowledge effort.
Sore vs. Wound,P-W-G x P-N-R,Pained giver meets pained receiver—sacrifice vs. passive hurt.,Sore may overgive; Wound may retreat.,Sore: Limit giving. Wound: Open up slightly.
Sore vs. Tasker,P-W-G x P-O-G,Pained giver meets pained giver—sacrifice vs. strained duty.,Risk of mutual burnout; no receiving.,Sore: Set limits. Tasker: Take breaks together.
Sore vs. Drift,P-W-G x P-O-N,Pained giver meets pained drifter—sacrifice vs. burdened calm.,Sore may push Drift; Drift may withdraw.,Sore: Be patient. Drift: Engage a bit.
Sore vs. Scar,P-W-G x P-O-R,Pained giver meets pained duty-taker—sacrifice vs. burdened receipt.,Sore may overburden Scar; Scar may resent.,Sore: Ease giving. Scar: Voice your load.
Paired Sore Givers,P-W-G x P-W-G,"Both pained, wanting, and giving—self-sacrificing duo.",Risk of mutual depletion; neglecting own needs.,Balance giving with self-care; check in on each other.
Hunger vs. Beacon,P-W-N x C-N-G,Pained craver meets content giver—restless vs. steady peace.,Craver may exhaust Beacon; Beacon may tire.,Craver: Accept calm. Beacon: Be patient.
Hunger vs. Drift,P-W-N x C-N-N,Pained craver meets content drifter—restless vs. serene calm.,Craver may stir Drift; Drift may ignore Craver.,Craver: Be gentle. Drift: Acknowledge the need.
Hunger vs. Keeper,P-W-N x C-N-R,Pained craver meets content receiver—restless vs. peaceful take.,Craver may disrupt Keeper; Keeper may seem aloof.,Craver: Calm your pace. Keeper: Engage lightly.
Hunger vs. Toiler,P-W-N x C-O-G,Pained craver meets content giver—restless vs. joyful duty.,Craver may lean on Toiler; Toiler may overgive.,Craver: Reciprocate. Toiler: Balance giving.
Hunger vs. Yoke,P-W-N x C-O-N,Pained craver meets content drifter—restless vs. light duty.,Craver may disrupt Yoke; Yoke may seem distant.,Craver: Ease up. Yoke: Connect gently.
Hunger vs. Duty,P-W-N x C-O-R,Pained craver meets content duty-taker—restless vs. glad receipt.,Craver may envy Duty’s ease; Duty may push Craver.,Craver: Share needs. Duty: Offer light aid.
Hunger vs. Sprinkler,P-W-N x C-W-G,Pained craver meets content giver—restless vs. joyful offer.,Craver may lean on Sprinkler; Sprinkler may overwhelm.,Craver: Accept joy. Sprinkler: Tone it down.
Hunger vs. Craver,P-W-N x C-W-N,Pained craver meets content craver—restless vs. calm longing.,Craver may resent Craver’s ease; Craver may detach.,Craver (P): Express pain. Craver (C): Offer soft support.
Hunger vs. Hunter,P-W-N x C-W-R,Pained craver meets content seeker—restless vs. joyful want.,Craver may envy Hunter; Hunter may miss Craver’s pain.,Craver: Share needs. Hunter: Listen first.
Hunger vs. Flow,P-W-N x N-N-G,Pained craver meets neutral giver—restless vs. steady offer.,Craver may lean on Flow; Flow may feel used.,Craver: Give back. Flow: Keep it light.
Hunger vs. Echo,P-W-N x N-N-N,Pained craver meets neutral flat—restless vs. stasis.,Craver may stir Echo; Echo may dull Craver.,Craver: Lead softly. Echo: Respond minimally.
Hunger vs. Sponge,P-W-N x N-N-R,Pained craver meets neutral receiver—restless vs. passivity.,Craver may exhaust Sponge; Sponge may shrink.,Craver: Ease demands. Sponge: Show interest.
Hunger vs. Hand,P-W-N x N-O-G,Pained craver meets neutral giver—restless vs. reliable duty.,Craver may drain Hand; Hand may judge Craver.,Craver: Thank Hand. Hand: Offer steady help.
Hunger vs. Glide,P-W-N x N-O-N,Pained craver meets neutral drifter—restless vs. duty-bound calm.,Craver may frustrate Glide; Glide may withdraw.,Craver: Ease up. Glide: Meet halfway.
Hunger vs. Fetcher,P-W-N x N-O-R,Pained craver meets neutral duty-taker—restless vs. calm receipt.,Craver may push Fetcher; Fetcher may resist.,Craver: Be patient. Fetcher: Share pace.
Hunger vs. Sharer,P-W-N x N-W-G,Pained craver meets neutral giver—restless vs. gentle offer.,Craver may take too much; Sharer may tire.,Craver: Reciprocate. Sharer: Pace giving.
Hunger vs. Dreamer,P-W-N x N-W-N,Pained craver meets neutral craver—restless vs. idle want.,Craver may frustrate Dreamer; Dreamer may drift.,Craver: Inspire action. Dreamer: Take a step.
Hunger vs. Chaser,P-W-N x N-W-R,Pained craver meets neutral seeker—restless vs. calm want.,Craver may overwhelm Chaser; Chaser may detach.,Craver: Slow down. Chaser: Offer calm aid.
Hunger vs. Bleeder,P-W-N x P-N-G,Pained craver meets pained giver—restless vs. quiet sacrifice.,Craver may miss Bleeder’s effort; Bleeder may tire.,Craver: Notice giving. Bleeder: Share strain.
Hunger vs. Sting,P-W-N x P-N-N,Pained craver meets pained neutral—restless vs. apathy.,Craver may annoy Sting; Sting may stall Craver.,Craver: Lead gently. Sting: Respond a bit.
Hunger vs. Wound,P-W-N x P-N-R,Pained craver meets pained receiver—restless vs. passive hurt.,Craver may push Wound; Wound may retreat.,Craver: Be patient. Wound: Open up slightly.
Hunger vs. Tasker,P-W-N x P-O-G,Pained craver meets pained giver—restless vs. strained duty.,Craver may drain Tasker; Tasker may resent.,Craver: Support back. Tasker: Set limits.
Hunger vs. Drift,P-W-N x P-O-N,Pained craver meets pained drifter—restless vs. burdened calm.,Craver may push Drift; Drift may resist.,Craver: Ease off. Drift: Engage a little.
Hunger vs. Scar,P-W-N x P-O-R,Pained craver meets pained duty-taker—restless vs. burdened receipt.,Craver may seem selfish; Scar may feel alone.,Craver: Offer aid. Scar: Voice your load.
Hunger vs. Sore,P-W-N x P-W-G,Pained craver meets pained giver—restless want vs. sacrifice.,Craver may frustrate Sore; Sore may feel unappreciated.,Craver: Act on wants. Sore: Ask for help.
Twin Hunger Pacers,P-W-N x P-W-N,"Both pained and wanting, staying neutral—restless but stuck.",Stagnation or frustration may build.,Push each other toward small actions to break the rut.
Ache vs. Bliss,P-W-R x C-N-G,Painful seeker meets calm giver—need vs. peace.,Seeker may feel judged; Beacon may tire of soothing.,"Seeker: Accept calm offered. Beacon: Be patient, don’t force peace."
Ache vs. Beacon,P-W-R x C-N-G,Painful seeker meets content giver—need vs. steady peace.,Seeker may exhaust Beacon; Beacon may tire.,Seeker: Accept calm. Beacon: Be patient.
Seeker vs. Drift,P-W-R x C-N-N,Painful seeker meets content drifter—need vs. serene calm.,Seeker may stir Drift; Drift may ignore Seeker.,Seeker: Be gentle. Drift: Acknowledge the need.
Ache vs. Keeper,P-W-R x C-N-R,Painful seeker meets content receiver—need vs. peaceful take.,Seeker may disrupt Keeper; Keeper may seem aloof.,Seeker: Calm your pace. Keeper: Engage lightly.
Seeker vs. Toiler,P-W-R x C-O-G,Painful seeker meets content giver—need vs. joyful duty.,Seeker may lean on Toiler; Toiler may overgive.,Seeker: Reciprocate. Toiler: Balance giving.
Ache vs. Yoke,P-W-R x C-O-N,Painful seeker meets content drifter—need vs. light duty.,Seeker may disrupt Yoke; Yoke may seem distant.,Seeker: Ease up. Yoke: Connect gently.
Seeker vs. Duty,P-W-R x C-O-R,Painful seeker meets content duty-taker—need vs. glad receipt.,Seeker may envy Duty; Duty may push Seeker.,Seeker: Share needs. Duty: Offer light aid.
Seeker vs. Sprinkler,P-W-R x C-W-G,Painful seeker meets content giver—need vs. joyful offer.,Seeker may lean too much; Sprinkler may overwhelm.,Seeker: Accept joy. Sprinkler: Tone it down.
Ache vs. Craver,P-W-R x C-W-N,Painful seeker meets content craver—need vs. calm longing.,Seeker may resent Craver’s ease; Craver may detach.,Seeker: Express pain. Craver: Offer soft support.
Seeker vs. Hunter,P-W-R x C-W-R,Painful seeker meets content seeker—need vs. joyful want.,Seeker may envy Hunter; Hunter may miss Seeker’s pain.,Seeker: Share needs. Hunter: Listen first.
Seeker vs. Flow,P-W-R x N-N-G,Painful seeker meets neutral giver—need vs. steady offer.,Seeker may lean too hard; Flow may feel unappreciated.,Seeker: Reciprocate. Flow: Keep it light.
Ache vs. Echo,P-W-R x N-N-N,Painful seeker meets neutral flat—need vs. stasis.,Seeker may stir Echo; Echo may dull Seeker.,Seeker: Lead gently. Echo: Respond minimally.
Seeker vs. Sponge,P-W-R x N-N-R,Painful seeker meets neutral receiver—need vs. passivity.,Seeker may exhaust Sponge; Sponge may retreat.,Seeker: Moderate demands. Sponge: Show interest.
Ache vs. Hand,P-W-R x N-O-G,Painful seeker meets neutral giver—need vs. reliable duty.,Seeker may drain Hand; Hand may judge Seeker.,Seeker: Give thanks. Hand: Offer steady help.
Seeker vs. Glide,P-W-R x N-O-N,Painful seeker meets neutral drifter—need vs. duty-bound calm.,Seeker may push Glide; Glide may withdraw.,Seeker: Be patient. Glide: Meet halfway.
Ache vs. Fetcher,P-W-R x N-O-R,Painful seeker meets neutral duty-taker—need vs. calm receipt.,Seeker may overload Fetcher; Fetcher may resist.,Seeker: Ease demands. Fetcher: Share your pace.
Ache vs. Sharer,P-W-R x N-W-G,Painful seeker meets neutral giver—need vs. gentle offer.,Seeker may take too much; Sharer may tire.,Seeker: Give back. Sharer: Pace your giving.
Seeker vs. Dreamer,P-W-R x N-W-N,Painful seeker meets neutral craver—need vs. idle want.,Seeker may frustrate Dreamer; Dreamer may seem aloof.,Seeker: Inspire action. Dreamer: Step up.
Ache vs. Chaser,P-W-R x N-W-R,Painful seeker meets neutral seeker—painful need vs. calm want.,Ache may overwhelm Chaser; Chaser may detach.,Ache: Accept calm. Chaser: Offer gentle aid.
Ache vs. Bleeder,P-W-R x P-N-G,Painful seeker meets pained giver—need vs. quiet sacrifice.,Seeker may miss Bleeder’s effort; Bleeder may feel used.,Seeker: Acknowledge giving. Bleeder: Share your strain.
Seeker vs. Sting,P-W-R x P-N-N,Painful seeker meets pained neutral—need vs. apathy.,Seeker’s intensity may annoy Sting; Sting may frustrate Seeker.,Seeker: Be patient. Sting: Signal needs.
Ache vs. Wound,P-W-R x P-N-R,Painful seeker meets pained receiver—active need vs. passive hurt.,Seeker may overwhelm Wound; Wound may withdraw.,Seeker: Slow down. Wound: Voice your state.
Seeker vs. Tasker,P-W-R x P-O-G,Painful seeker meets pained giver—need vs. strained duty.,Seeker may drain Tasker; Tasker may resent Seeker.,Seeker: Reciprocate. Tasker: Set boundaries.
Ache vs. Drift,P-W-R x P-O-N,Painful seeker meets pained drifter—need vs. burdened calm.,Seeker may push Drift; Drift may resist.,Seeker: Ease up. Drift: Engage slightly.
Seeker vs. Scar,P-W-R x P-O-R,Painful seeker meets pained duty-taker—need vs. burdened receipt.,Seeker may seem selfish; Scar may feel unsupported.,Seeker: Offer help. Scar: Express your load.
Seeker vs. Sore,P-W-R x P-W-G,Painful seeker meets pained giver—need vs. sacrifice.,Seeker may overburden Giver; Giver may resent taking.,Seeker: Appreciate the giving. Giver: Set giving limits.
Ache vs. Hunger,P-W-R x P-W-N,Painful seeker meets pained craver—intense need vs. restless want.,Seeker may drain Craver; Craver may stall Seeker.,Seeker: Pace your needs. Craver: Take small steps to align.
Dual Ache Seekers,P-W-R x P-W-R,"Both in pain, wanting, and receiving—intense shared need.",Over-dependence or energy drain possible.,Take turns supporting; set boundaries to avoid overwhelm.
